3	6	Tạo Tài Khoản	\N	done	low	2026-02-27 00:00:00	17	1	2026-02-23 14:25:35	2026-02-25 16:46:34
6	6	Tạo Tài Khoản	\N	done	low	2026-02-27 00:00:00	22	1	2026-02-25 13:30:26	2026-02-25 16:48:08
4	6	Tạo Tài Khoản	\N	done	low	2026-02-27 00:00:00	16	1	2026-02-23 14:25:53	2026-02-26 17:48:31
7	6	Tạo Tài Khoản	\N	done	low	2026-02-26 00:00:00	1	1	2026-02-25 13:32:43	2026-02-26 18:13:35
13	4	Làm Slide Thuyết Trình	Làm Slide thuyết trình cho ngày 03/03/2026	done	high	2026-03-03 00:00:00	1	1	2026-03-03 02:59:09	2026-03-03 02:59:09
14	4	Thuyết trình	Thuyết trình ngày 03/03/2026	done	high	2026-03-03 00:00:00	1	1	2026-03-03 02:59:44	2026-03-03 02:59:44
5	6	Tạo Tài Khoản	\N	done	low	2026-02-27 00:00:00	18	1	2026-02-23 15:02:48	2026-03-04 20:29:24
27	10	Đọc và tìm hiểu dataset	1. Phần mềm và Công cụ (Tech Stack)\r\nBạn nên cài đặt các công cụ này trên Docker (nếu máy mạnh) hoặc cài trực tiếp trên Linux (Ubuntu) để mô phỏng môi trường máy chủ.\r\n\r\nNgôn ngữ lập trình: Python 3.x. Đây là ngôn ngữ chính để viết script xử lý và kết nối các thành phần.\r\n\r\nHệ thống xử lý phân tán: Apache Spark (PySpark). Đây là "trái tim" của đồ án. Spark giúp bạn xử lý file 1GB nhanh chóng và có module Spark Structured Streaming để xử lý dữ liệu luồng.\r\n\r\nHệ thống nạp dữ liệu (Message Broker): Apache Kafka. Dùng để đóng vai trò "trạm trung chuyển", nhận dữ liệu giả lập từ cảm biến và đẩy vào Spark.\r\n\r\nCơ sở dữ liệu (Database):\r\n\r\nInfluxDB: Chuyên dụng cho dữ liệu chuỗi thời gian (Time-series). Rất nhẹ và tối ưu cho dữ liệu IoT.\r\n\r\nHoặc MongoDB: Nếu bạn muốn lưu trữ dữ liệu dưới dạng JSON linh hoạt.\r\n\r\nTrình trực quan hóa (Visualization): Grafana. Công cụ này kết nối cực tốt với InfluxDB để tạo ra những dashboard nhìn rất "hiện đại" và chuyên nghiệp.\r\n\r\n2. Chuẩn bị về mặt Dữ liệu (Data Preparation)\r\nVì dataset gốc có thể chưa đủ 1GB, bạn cần thực hiện bước "Data Augmentation" (Tăng cường dữ liệu):\r\n\r\nScript nhân bản dữ liệu: Viết một đoạn code Python đọc file CSV gốc, sau đó dùng vòng lặp để nhân bản các dòng dữ liệu.\r\n\r\nThêm tính ngẫu nhiên: Để không bị coi là copy-paste, mỗi dòng nhân bản bạn nên cộng hoặc trừ một lượng nhỏ (nhiễu) vào các chỉ số PM2.5, CO... và thay đổi ID cảm biến. Điều này giúp dataset trông như đến từ một mạng lưới hàng ngàn cảm biến thực sự.\r\n\r\nĐịnh dạng lưu trữ: Hãy lưu dataset ra định dạng .parquet thay vì .csv. Trong thế giới Big Data, Parquet là định dạng lưu trữ dạng cột giúp Spark xử lý nhanh hơn gấp nhiều lần.\r\n\r\n3. Chuẩn bị về mặt Giải thuật (Analytics & Insight)\r\nBạn cần chuẩn bị các thư viện Python sau để chạy trong môi trường Spark:\r\n\r\nPandas & NumPy: Dùng để xử lý dữ liệu nhỏ hoặc tiền xử lý ban đầu.\r\n\r\nScikit-Learn hoặc Spark MLlib: Dùng để chạy thuật toán Isolation Forest (Phát hiện bất thường) hoặc Linear Regression (Tìm tương quan giữa nhiệt độ và ô nhiễm).\r\n\r\nDữ liệu phụ trợ: Lên mạng tìm một file CSV về "Thời tiết lịch sử" (Historical Weather Data) tại khu vực tương ứng để làm bước Join dữ liệu (đây là kỹ thuật quan trọng để lấy điểm sáng tạo).\r\n\r\n\r\n4. Các bước triển khai chi tiết (Lộ trình)\r\nGiai đoạn 1 (Tuần 1): Cài đặt môi trường (Spark, Kafka). Viết script Python để tạo ra file dataset 1GB từ nguồn AIRIoT.\r\n\r\nGiai đoạn 2 (Tuần 2): Thiết lập luồng: Python Script (Producer) -> Kafka -> Spark Streaming (Consumer). Tại Spark, viết code làm sạch dữ liệu (loại bỏ các dòng trống, định dạng lại thời gian).\r\n\r\nGiai đoạn 3 (Tuần 3): Thực hiện phân tích: Tính trung bình theo khung giờ (Windowing), chạy mô hình phát hiện lỗi cảm biến. Kết hợp dữ liệu thời tiết để tìm insight.\r\n\r\nGiai đoạn 4 (Tuần 4): Đẩy kết quả từ Spark vào InfluxDB và thiết kế Dashboard trên Grafana để trình chiếu khi bảo vệ.\r\n\r\nNếu máy tính cá nhân của bạn không quá mạnh để chạy cùng lúc Kafka, Spark và InfluxDB, bạn có thể sử dụng Google Colab để viết code PySpark xử lý file tĩnh (đã nhân bản lên 1GB) và tập trung sâu vào phần Machine Learning trên Spark để tìm ra các điểm bất thường trong dữ liệu. Cách này vẫn đảm bảo tính "Big Data" mà lại nhẹ nhàng hơn cho phần cứng.	in_progress	medium	2026-03-20 23:59:00	1	1	2026-03-14 22:04:00	2026-03-17 08:22:27
28	4	Deploy Application	\N	done	high	2026-03-31 09:28:00	16	1	2026-03-17 09:28:30	2026-03-17 09:28:30
26	10	Đọc và tìm hiểu dataset.	1. Phần mềm và Công cụ (Tech Stack)\r\nBạn nên cài đặt các công cụ này trên Docker (nếu máy mạnh) hoặc cài trực tiếp trên Linux (Ubuntu) để mô phỏng môi trường máy chủ.\r\n\r\nNgôn ngữ lập trình: Python 3.x. Đây là ngôn ngữ chính để viết script xử lý và kết nối các thành phần.\r\n\r\nHệ thống xử lý phân tán: Apache Spark (PySpark). Đây là "trái tim" của đồ án. Spark giúp bạn xử lý file 1GB nhanh chóng và có module Spark Structured Streaming để xử lý dữ liệu luồng.\r\n\r\nHệ thống nạp dữ liệu (Message Broker): Apache Kafka. Dùng để đóng vai trò "trạm trung chuyển", nhận dữ liệu giả lập từ cảm biến và đẩy vào Spark.\r\n\r\nCơ sở dữ liệu (Database):\r\n\r\nInfluxDB: Chuyên dụng cho dữ liệu chuỗi thời gian (Time-series). Rất nhẹ và tối ưu cho dữ liệu IoT.\r\n\r\nHoặc MongoDB: Nếu bạn muốn lưu trữ dữ liệu dưới dạng JSON linh hoạt.\r\n\r\nTrình trực quan hóa (Visualization): Grafana. Công cụ này kết nối cực tốt với InfluxDB để tạo ra những dashboard nhìn rất "hiện đại" và chuyên nghiệp.\r\n\r\n2. Chuẩn bị về mặt Dữ liệu (Data Preparation)\r\nVì dataset gốc có thể chưa đủ 1GB, bạn cần thực hiện bước "Data Augmentation" (Tăng cường dữ liệu):\r\n\r\nScript nhân bản dữ liệu: Viết một đoạn code Python đọc file CSV gốc, sau đó dùng vòng lặp để nhân bản các dòng dữ liệu.\r\n\r\nThêm tính ngẫu nhiên: Để không bị coi là copy-paste, mỗi dòng nhân bản bạn nên cộng hoặc trừ một lượng nhỏ (nhiễu) vào các chỉ số PM2.5, CO... và thay đổi ID cảm biến. Điều này giúp dataset trông như đến từ một mạng lưới hàng ngàn cảm biến thực sự.\r\n\r\nĐịnh dạng lưu trữ: Hãy lưu dataset ra định dạng .parquet thay vì .csv. Trong thế giới Big Data, Parquet là định dạng lưu trữ dạng cột giúp Spark xử lý nhanh hơn gấp nhiều lần.\r\n\r\n3. Chuẩn bị về mặt Giải thuật (Analytics & Insight)\r\nBạn cần chuẩn bị các thư viện Python sau để chạy trong môi trường Spark:\r\n\r\nPandas & NumPy: Dùng để xử lý dữ liệu nhỏ hoặc tiền xử lý ban đầu.\r\n\r\nScikit-Learn hoặc Spark MLlib: Dùng để chạy thuật toán Isolation Forest (Phát hiện bất thường) hoặc Linear Regression (Tìm tương quan giữa nhiệt độ và ô nhiễm).\r\n\r\nDữ liệu phụ trợ: Lên mạng tìm một file CSV về "Thời tiết lịch sử" (Historical Weather Data) tại khu vực tương ứng để làm bước Join dữ liệu (đây là kỹ thuật quan trọng để lấy điểm sáng tạo).\r\n\r\n\r\n4. Các bước triển khai chi tiết (Lộ trình)\r\nGiai đoạn 1 (Tuần 1): Cài đặt môi trường (Spark, Kafka). Viết script Python để tạo ra file dataset 1GB từ nguồn AIRIoT.\r\n\r\nGiai đoạn 2 (Tuần 2): Thiết lập luồng: Python Script (Producer) -> Kafka -> Spark Streaming (Consumer). Tại Spark, viết code làm sạch dữ liệu (loại bỏ các dòng trống, định dạng lại thời gian).\r\n\r\nGiai đoạn 3 (Tuần 3): Thực hiện phân tích: Tính trung bình theo khung giờ (Windowing), chạy mô hình phát hiện lỗi cảm biến. Kết hợp dữ liệu thời tiết để tìm insight.\r\n\r\nGiai đoạn 4 (Tuần 4): Đẩy kết quả từ Spark vào InfluxDB và thiết kế Dashboard trên Grafana để trình chiếu khi bảo vệ.\r\n\r\nNếu máy tính cá nhân của bạn không quá mạnh để chạy cùng lúc Kafka, Spark và InfluxDB, bạn có thể sử dụng Google Colab để viết code PySpark xử lý file tĩnh (đã nhân bản lên 1GB) và tập trung sâu vào phần Machine Learning trên Spark để tìm ra các điểm bất thường trong dữ liệu. Cách này vẫn đảm bảo tính "Big Data" mà lại nhẹ nhàng hơn cho phần cứng.	in_progress	medium	2026-03-20 23:59:00	18	1	2026-03-14 22:03:09	2026-03-17 10:46:07
