3	5	17	member	2026-02-23 14:50:08	2026-02-23 14:50:08
4	5	16	member	2026-02-23 14:50:15	2026-02-23 14:50:15
6	4	16	member	2026-02-23 14:50:33	2026-02-23 14:50:33
8	5	18	member	2026-02-23 14:54:18	2026-02-23 14:54:18
9	4	18	member	2026-02-23 14:54:35	2026-02-23 14:54:35
11	2	21	deputy	2026-02-23 15:18:46	2026-02-23 15:18:46
16	5	22	member	2026-02-25 13:39:27	2026-02-25 13:39:27
17	4	22	member	2026-02-25 13:39:39	2026-02-25 13:39:39
21	6	19	member	2026-02-25 19:32:58	2026-02-25 19:32:58
12	3	20	deputy	2026-02-23 15:18:59	2026-02-25 19:43:54
23	3	19	member	2026-02-26 16:26:32	2026-02-26 16:27:45
2	6	17	deputy	2026-02-23 14:49:54	2026-02-26 17:42:52
15	6	22	deputy	2026-02-25 13:29:58	2026-02-26 17:42:55
7	6	18	deputy	2026-02-23 14:54:07	2026-02-26 17:42:59
1	6	16	deputy	2026-02-23 14:49:47	2026-02-26 17:43:02
25	10	17	member	2026-02-26 17:44:49	2026-03-04 20:39:20
27	10	22	member	2026-02-26 17:45:09	2026-03-04 20:39:23
26	10	18	member	2026-02-26 17:45:01	2026-03-04 20:39:27
28	10	16	member	2026-02-26 17:45:16	2026-03-04 20:39:30
5	4	17	member	2026-02-23 14:50:27	2026-03-04 20:39:45
19	4	1	lead	2026-02-25 14:32:41	2026-03-04 20:48:09
13	6	1	lead	2026-02-23 15:22:15	2026-03-04 20:48:51
18	5	1	lead	2026-02-25 14:32:20	2026-03-04 20:49:10
24	10	1	lead	2026-02-26 17:44:39	2026-03-14 21:44:16
\.


