4	5	1	Không làm à	[]	2026-02-25 12:57:51	2026-02-25 12:57:51
17	13	1	https://www.canva.com/design/DAHCzgimNcA/83vwkzXir0wFiRTqe6yZYQ/edit?utm_content=DAHCzgimNcA&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton	[]	2026-03-03 19:41:09	2026-03-03 19:41:09
18	14	1	https://www.canva.com/design/DAHCzgimNcA/83vwkzXir0wFiRTqe6yZYQ/edit?utm_content=DAHCzgimNcA&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton	[]	2026-03-03 20:48:54	2026-03-03 20:48:54
19	18	1	@Trần Mỹ Anh Không làm subtask hã	[]	2026-03-06 11:50:44	2026-03-06 11:50:44
20	18	1	Làm subtask là được cộng điểm đó	[]	2026-03-06 11:51:04	2026-03-06 11:51:04
21	15	1	Oke chút bạn check nhe	[]	2026-03-06 12:00:56	2026-03-06 12:00:56
22	18	16	được chưa	[]	2026-03-06 15:05:22	2026-03-06 15:05:22
23	18	1	Vẫn lỗi rồi gửi lại cho bạn vào zalo đi	[]	2026-03-06 17:56:09	2026-03-06 17:56:09
\.


