12	1	16	2026-02-23 14:20:51	2026-02-23 14:20:51
13	16	17	2026-02-23 14:24:04	2026-02-23 14:24:04
14	1	17	2026-02-23 14:24:27	2026-02-23 14:24:27
15	1	19	2026-02-23 15:00:24	2026-02-23 15:00:24
16	17	19	2026-02-23 15:01:30	2026-02-23 15:01:30
17	18	19	2026-02-23 15:01:34	2026-02-23 15:01:34
18	17	20	2026-02-23 15:55:00	2026-02-23 15:55:00
19	17	18	2026-02-23 15:55:05	2026-02-23 15:55:05
20	19	20	2026-02-23 15:59:43	2026-02-23 15:59:43
21	1	20	2026-02-25 12:58:28	2026-02-25 12:58:28
22	1	22	2026-02-25 13:29:29	2026-02-25 13:29:29
23	1	21	2026-02-25 13:41:53	2026-02-25 13:41:53
24	1	18	2026-02-25 13:41:55	2026-02-25 13:41:55
25	19	21	2026-02-25 14:33:24	2026-02-25 14:33:24
26	16	19	2026-02-25 14:33:26	2026-02-25 14:33:26
30	1	25	2026-02-28 22:59:32	2026-02-28 22:59:32
31	16	21	2026-03-05 21:13:58	2026-03-05 21:13:58
32	16	22	2026-03-05 21:14:04	2026-03-05 21:14:04
33	1	26	2026-03-08 13:21:53	2026-03-08 13:21:53
34	16	20	2026-03-17 21:21:17	2026-03-17 21:21:17
35	16	27	2026-03-17 21:21:20	2026-03-17 21:21:20
\.


